Country, Both sexes, Female, Male
Afghanistan,2.9 [1.6-4.2],4.1 [2.2-6.7],1.8 [0.8-3.3]
Albania,17.6 [12.7-22.2],18.7 [12-26.3],16.5 [10.7-23.4]
Algeria,24.8 [19.7-29.8],30.8 [23.4-38.5],18.8 [12.9-25.4]
Andorra,29.5 [23.8-35.1],30.5 [22.5-39.1],28.5 [21.1-36.1]
Angola,10.2 [6-14.3],14.2 [8.4-21.7],6 [2.9-10.8]
Antigua and Barbuda,30.9 [24-38],38.7 [28.6-49.3],22.8 [14.4-32.8]
Argentina,26.3 [21.3-31.4],28.9 [21.7-36.9],23.6 [16.7-31.3]
Armenia,19.5 [14.7-24.4],22 [15.2-29.5],17.2 [10.9-24.5]
Australia,28.6 [24-32.9],28.8 [23.3-34.5],28.4 [22.8-34.3]
Austria,18.4 [13.7-23],16.3 [10.9-22.6],20.5 [14.2-27.7]
Azerbaijan,22.5 [17.4-28.1],26.1 [18.6-34.2],19 [12.2-26.8]
Bahamas,36.2 [29.9-42.4],42.5 [33.6-51.3],29.7 [21.5-38.5]
Bahrain,35.1 [29.9-40.7],42.8 [34.6-50.6],30.5 [23.2-38.2]
Bangladesh,3.6 [2.2-5],5.1 [3-7.8],2.1 [1-3.7]
Barbados,31.3 [25-37.9],38.2 [28.5-48],24.4 [16-34]
Belarus,23.4 [17.4-29.5],25.5 [16.9-34.5],21 [14-29.3]
Belgium,20.2 [15.3-24.4],18.2 [12.6-24.8],22.3 [16.1-28.9]
Belize,22.5 [17.4-27.8],28.8 [20.9-37.3],16.1 [10.3-23.4]
Benin,9.3 [6.7-11.8],14.5 [10.3-19.3],4.1 [2.3-6.8]
Bhutan,6.7 [4.4-9.1],8.8 [5.5-13],4.9 [2.7-8.2]
Bolivia (Plurinational State of),17.1 [12.5-21.6],22.2 [15.6-29.8],12.1 [6.9-18.4]
Bosnia and Herzegovina,17.9 [12.6-22.6],19.4 [12.4-27.9],16.3 [10.1-24]
Botswana,22.4 [17.3-27.5],32.3 [24-41.1],12.7 [7.6-19.3]
Brazil,20 [15.8-24],22.7 [17.2-28.9],17.3 [12-23.1]
Brunei Darussalam,18.1 [13-23.5],20.1 [12.8-28.7],16.2 [9.5-24.7]
Bulgaria,23.2 [17.6-28.5],24.5 [16.8-33],21.8 [15.1-29.6]
Burkina Faso,6.3 [4.2-8.1],9.2 [6.1-13],3.2 [1.7-5.5]
Burundi,2.6 [1.3-3.9],4.5 [2.4-7.5],0.7 [0.2-1.5]
Cote d'Ivoire,9.2 [6.6-11.7],13.8 [9.8-18.4],4.7 [2.6-7.9]
Cabo Verde,13 [9.7-16.4],17.4 [12.1-23.3],8.6 [5.1-13.2]
Cambodia,3.2 [1.8-4.5],4.6 [2.6-7.4],1.7 [0.8-3.2]
Cameroon,11.4 [8.5-14.4],17.1 [12.4-22.3],5.8 [3.2-9.3]
Canada,28 [23.9-32.6],29.1 [23.1-35.4],26.8 [20.8-33.4]
Central African Republic,5.1 [3.1-7.3],8 [4.5-12.6],2.2 [0.9-4.3]
Chad,8.1 [5.4-10.8],12.3 [8.2-17.4],4 [2-6.9]
Chile,27.8 [22.8-32.7],32.2 [24.8-40.1],23.3 [16.8-30.5]
China,6.9 [4.5-9.2],8 [4.7-12.3],5.9 [3.2-9.3]
Colombia,21 [16.7-24.8],25.7 [19.6-32.3],16.1 [10.8-21.9]
Comoros,6.6 [4.3-8.8],11 [7.3-15.4],2.2 [1.1-4]
Congo,11 [7.5-14.5],15.7 [10.2-22.1],6.4 [3.2-10.9]
Cook Islands,50.8 [45.2-56.3],55.1 [47.2-62.9],46.6 [38.2-54.8]
Costa Rica,24.3 [19.9-28.4],29.5 [22.9-36.7],19.2 [13.5-25.7]
Croatia,23.3 [18-29.2],24.1 [16.5-33.1],22.5 [15.6-30.2]
Cuba,25.2 [19.4-30.3],31.5 [23-40.4],19 [12.1-27.3]
Cyprus,23.8 [18.3-28.7],25.7 [18.1-33.9],21.9 [15.1-29.6]
Czech Republic,26.8 [21.3-32.2],27.3 [19.1-36],26.2 [19.2-34]
Democratic People's Republic of Korea,2.4 [0.8-4.1],3.1 [1.2-6.6],1.6 [0.5-3.7]
Democratic Republic of the Congo,4.4 [2.3-6.2],7.1 [3.9-11.4],1.6 [0.6-3.6]
Denmark,19.3 [15.1-23.5],17 [11.6-22.9],21.7 [15.6-28.1]
Djibouti,9.6 [5.9-12.8],13.5 [8.1-20.3],5.6 [2.7-10]
Dominica,25.8 [20.5-31.1],33 [25-41.5],18.5 [12.3-26.2]
Dominican Republic,23.9 [18.6-29.2],29.5 [21.8-37.8],18.2 [11.7-25.8]
Ecuador,18.7 [13.8-23.1],22.9 [16.3-30.4],14.4 [8.9-20.9]
Egypt,28.9 [24.3-33.6],37.5 [30.5-44.9],20.3 [14.6-26.9]
El Salvador,21.8 [17.4-26.5],27 [20.4-34.2],15.9 [10.5-22.5]
Equatorial Guinea,17.5 [10.9-24],22.7 [13.4-33.9],12.5 [6.1-21.6]
Eritrea,4.1 [2.5-5.8],6.9 [4.1-10.5],1.4 [0.6-2.6]
Estonia,22.6 [16.9-28.2],22.9 [15-31.9],22.2 [15.2-30.4]
Ethiopia,4 [2.6-5.5],6.6 [4-10.1],1.5 [0.7-2.7]
Fiji,36.4 [31.2-41.8],42.3 [34.4-49.9],30.8 [23.3-38.7]
Finland,20.6 [16.7-24.3],19.6 [14.7-25],21.6 [16.3-27.4]
France,23.9 [18.9-29.1],24 [17.3-31.7],23.8 [17-30.9]
Gabon,17.6 [12.8-22.8],22.5 [15.5-30.4],12.9 [7.1-20.2]
Gambia,10.9 [7.7-14],15.8 [10.8-21.7],5.8 [3.2-9.2]
Georgia,20.8 [16.2-26],24 [17.1-31.6],17.2 [11-24.7]
Germany,20.1 [15.9-23.9],18.5 [13.5-24.2],21.9 [16.2-28.2]
Ghana,12.2 [9-15.4],18.9 [13.7-24.8],5.4 [2.9-9.1]
Greece,22.9 [17.8-27.7],23.8 [17.1-31.3],21.9 [15.5-29]
Grenada,26.2 [20.8-32],34.3 [25.7-42.9],18.1 [11.7-25.5]
Guatemala,18.6 [14-22.9],23.9 [17.5-30.8],13 [8.1-19]
Guinea,6.8 [4.9-8.7],10.3 [7-14.3],3.2 [1.7-5.4]
Guinea-Bissau,7.2 [4.9-9.5],10.8 [7.1-15.2],3.6 [1.8-6.2]
Guyana,22.9 [17.7-28.3],31.6 [23.2-40.5],14.4 [8.8-21.5]
Haiti,11.9 [8.3-15.8],16.6 [10.8-23.6],7.2 [3.5-12.4]
Honduras,18.2 [14.1-22.2],24.1 [17.9-30.9],12.4 [7.7-18]
Hungary,24 [18.4-29.5],23.9 [16.1-32.7],24 [17.2-31.8]
Iceland,22.8 [17.7-27.9],21.5 [14.8-28.7],24.1 [17.1-31.9]
India,4.9 [3.4-6.4],6.7 [4.4-9.6],3.2 [1.8-5.1]
Indonesia,5.7 [3.5-7.9],7.9 [4.8-11.8],3.5 [1.9-6.2]
Iran (Islamic Republic of),26.1 [22-30.5],32 [25.8-38.6],20.1 [14.7-25.9]
Iraq,23.8 [18.9-28.9],30.5 [23.1-38.7],17.2 [11.5-24.1]
Ireland,25.6 [21.2-30.2],25.3 [19.1-31.7],25.9 [19.3-32.7]
Israel,25.3 [20.1-30.3],27 [19.9-34.9],23.5 [16.8-30.8]
Italy,21 [17-24.9],21.6 [15.8-28],20.4 [14.9-26.4]
Jamaica,27.2 [21.9-32.7],35.7 [27.8-43.7],18.4 [12.2-25.4]
Japan,3.3 [2.1-4.4],3.2 [1.8-5],3.4 [2-5.5]
Jordan,30.5 [25.5-35.7],38.6 [31.5-45.8],22.7 [16.2-30.1]
Kazakhstan,23.4 [18-28.9],25 [17.6-33.4],21.6 [14.2-29.9]
Kenya,7 [4.6-9.2],11.1 [7.3-15.9],2.8 [1.4-5.1]
Kiribati,40.6 [34.8-46.8],48.5 [40.4-56.6],32.9 [24.9-41.6]
Kuwait,39.7 [33.8-45.3],45.9 [37.7-54],35.5 [28.2-43.1]
Kyrgyzstan,14.4 [10.4-18.5],17.3 [11.8-23.8],11.5 [6.6-17.8]
Lao People's Democratic Republic,3.5 [2.1-4.9],4.9 [2.8-7.7],2.1 [1-3.8]
Latvia,23.7 [17.6-29.3],25.1 [16.5-34.7],22 [15-30.5]
Lebanon,31.9 [27.2-37.4],37.7 [29.9-44.8],26.3 [19.7-33.4]
Lesotho,14.2 [10.5-18.1],24 [17.3-31.6],4.1 [2.1-6.8]
Liberia,6.6 [4.4-8.9],10.6 [7-15],2.7 [1.3-4.9]
Libya,33.1 [28.1-38.1],39.5 [31.9-46.7],26.6 [20.3-33.5]
Lithuania,25.9 [19.8-32.2],28.3 [19.8-37.6],23.1 [15.9-31.4]
Luxembourg,23.1 [18.4-27.9],19.7 [13.7-26.6],26.6 [19.7-33.9]
Madagascar,5.4 [3.4-7.6],8.6 [5.2-12.9],2.2 [1-4]
Malawi,5.3 [3.5-7],8.9 [5.7-12.8],1.6 [0.7-3.1]
Malaysia,13.3 [9.6-16.8],16 [10.9-21.8],10.6 [6.5-15.9]
Maldives,7.9 [5-11.1],10.8 [6.4-16.6],5 [2.4-9.1]
Mali,6.8 [4.5-9],9.9 [6.6-14],3.8 [1.9-6.4]
Malta,26.6 [21.4-32],28.5 [20.5-37.2],24.6 [17.4-32.6]
Marshall Islands,42.8 [37.3-48.5],48.9 [40.6-56.8],36.9 [28.7-45.3]
Mauritania,9.7 [6.5-12.8],13.6 [9.1-19.3],5.8 [3-9.5]
Mauritius,17.9 [12.9-22.5],24.3 [17.2-32.3],11.2 [6.5-17.4]
Mexico,28.1 [23.4-32.5],33.1 [26.6-39.7],22.8 [17.1-29.1]
Micronesia (Federated States of),37.2 [31.9-42.5],43.7 [36.1-51.2],31 [23.4-39.1]
Mongolia,16.7 [12.2-21.1],18.8 [12.9-25.7],14.6 [9.1-21]
Montenegro,20 [14.7-24.9],20.7 [13.5-29.1],19.3 [13-27]
Morocco,22.3 [17.5-26.9],28.3 [21.3-35.8],16.2 [10.8-22.7]
Mozambique,5.3 [3.5-7.1],8.7 [5.5-12.6],1.8 [0.8-3.4]
Myanmar,2.9 [1.5-4.1],4.3 [2.4-7],1.4 [0.6-2.7]
Namibia,18.9 [14.4-23.5],28.2 [20.6-36.1],9.2 [5.4-14.2]
Nauru,45.6 [38.6-52.8],51.6 [41.7-60.7],39.7 [29.5-50.3]
Nepal,3.3 [1.9-4.6],4.6 [2.7-7.1],1.8 [0.9-3.4]
Netherlands,19.8 [15.7-24.1],18.3 [13-24.4],21.4 [15.3-27.8]
New Zealand,29.2 [25.2-33.1],30.8 [25.2-36.6],27.7 [22.1-33.7]
Nicaragua,17.1 [12.6-21.4],23.2 [16.7-30.5],10.8 [6.4-16.4]
Niger,4.3 [2.8-5.9],6.8 [4.3-10],1.9 [0.9-3.4]
Nigeria,11 [8.2-13.9],16.3 [12-21.5],5.9 [3.4-9.2]
Niue,43.2 [37.8-48.8],49 [41.5-56.6],37.7 [30.1-45.5]
Norway,23.1 [18.6-27.7],21.7 [15.7-28],24.6 [18.3-31.4]
Oman,30.9 [25.5-36.4],37.7 [29.9-45.7],27.2 [20.4-34.7]
Pakistan,5.4 [3.6-7.3],7.3 [4.6-10.9],3.7 [1.9-6.4]
Palau,47.6 [42.4-53.5],52.2 [43.9-60.2],43.1 [34.8-51.3]
Panama,26.8 [21.5-31.7],33.1 [25.4-40.9],20.6 [14.3-27.8]
Papua New Guinea,27.9 [22.5-34],33.4 [25.3-41.9],22.6 [15.4-30.9]
Paraguay,16.3 [11.8-20.4],19.5 [13.3-27.1],13.1 [8-19.4]
Peru,21.1 [16.8-25.8],26.5 [20.3-33.2],15.8 [10-22.6]
Philippines,5.1 [3.2-7.2],6.6 [3.8-10.3],3.6 [1.8-6.4]
Poland,25.2 [19.9-30.5],26.7 [19.1-35.1],23.5 [16.8-30.6]
Portugal,20.1 [14.8-25.3],20.3 [13.9-27.3],19.8 [13.4-26.8]
Qatar,42.3 [35.9-48.4],49.7 [41.4-57.8],40 [31.8-48.1]
Republic of Korea,5.8 [3.7-8],6.7 [3.9-10.5],4.8 [2.6-7.7]
Republic of Moldova,14.9 [10.2-20],17.9 [11.4-25.4],11.4 [6.7-17.6]
Romania,21.7 [16.1-27.4],22.7 [15.2-31.2],20.5 [13.8-27.9]
Russian Federation,24.1 [18.9-29.3],27.4 [19.6-35.4],20.3 [14.1-27.3]
Rwanda,4 [2.3-5.7],6.6 [3.9-10.2],1.2 [0.5-2.6]
Saint Kitts and Nevis,28.3 [22.5-34.5],35.3 [26.3-44.7],21.2 [13.8-30]
Saint Lucia,26.9 [21.4-33],33.9 [24.8-43.3],19.7 [12.4-28.7]
Saint Vincent and the Grenadines,24.3 [18.7-29.3],30.9 [22.8-39.7],17.9 [11.8-25.3]
Samoa,43.4 [37.4-49.1],51.3 [43.4-59.1],36 [27.6-45]
Sao Tome and Principe,12.3 [8.8-15.5],18.2 [13.1-24.1],6.2 [3.5-10.1]
Saudi Arabia,34.7 [29.6-40.1],41.4 [33.8-49.1],29.9 [22.9-37.7]
Senegal,9.8 [6.9-12.5],14.6 [10.4-19.8],4.8 [2.6-7.7]
Serbia,19.5 [14.6-23.8],20.5 [13.5-28.3],18.6 [12.8-25.5]
Seychelles,26.3 [20.5-31.7],35.9 [27.3-44.9],17.1 [10.5-25.1]
Sierra Leone,7.6 [5.5-9.8],12 [8.3-16.2],3.1 [1.7-5.1]
Singapore,6.2 [4.3-8.2],6.8 [4.3-10.1],5.7 [3.4-8.7]
Slovakia,25.7 [20-31.3],26.7 [18.7-35.2],24.6 [17.4-32.7]
Slovenia,25.1 [19.3-31],25.5 [17.1-35.2],24.6 [16.7-33.3]
Solomon Islands,27.7 [22.4-33.1],33.7 [25.7-41.8],21.8 [14.9-29.9]
Somalia,4.6 [2.6-6.6],7.2 [4-11.5],2.1 [0.8-4]
South Africa,26.8 [22.8-31.3],37.3 [30.6-43.9],15.7 [11-21.5]
South Sudan,7.5 [4.9-10.2],11.1 [7.1-16.1],4 [2.1-7]
Spain,23.7 [19.5-28.1],24.7 [18.5-31.4],22.8 [16.7-29.3]
Sri Lanka,6.5 [3.9-9.1],9.5 [5.5-14.7],3.4 [1.6-6.2]
Sudan,7.5 [4.9-10.2],11.1 [7.1-16.1],4 [2.1-7]
Suriname,26.1 [20.7-31.9],32.9 [24.5-42],19.4 [13-26.8]
Swaziland,17.7 [13.5-22.2],27.8 [19.7-36.5],7.5 [4.1-12.3]
Sweden,20.5 [16.3-25.2],18.6 [13.1-24.8],22.5 [16.4-29.3]
Switzerland,19.4 [15.6-23.5],16.5 [11.3-22.5],22.3 [16.4-28.8]
Syrian Arab Republic,23.5 [18.7-28.3],29.9 [22.7-37.5],17.4 [11.8-23.7]
Tajikistan,13.6 [9.5-17.7],17.3 [11.3-24.1],9.9 [5.3-16.2]
Thailand,8.5 [5.8-11.3],11.1 [7.2-16.1],5.7 [3.2-9.4]
The former Yugoslav republic of Macedonia,19.6 [14.7-24.7],20.9 [13.6-29.2],18.3 [12-25.7]
Timor-Leste,2.2 [1.1-3.3],3.2 [1.7-5.5],1.2 [0.5-2.5]
Togo,7.5 [5.1-10],11.9 [8-16.5],3 [1.6-5]
Tonga,43.3 [37.1-49.2],50.1 [42-58],36.4 [28.1-45.4]
Trinidad and Tobago,31.1 [23.6-38.6],38 [26.6-49.7],24.1 [14-36.2]
Tunisia,27.1 [22.6-31.7],33.8 [26.7-41.1],20.3 [14.6-26.6]
Turkey,29.5 [25.2-33.8],35.8 [29.2-42.4],22.9 [17.5-28.9]
Turkmenistan,20.1 [15.5-24.9],23.1 [16.2-30.6],17.1 [11-24]
Tuvalu,40.3 [34.2-46.7],46.4 [38.4-54.3],34.5 [26.4-42.8]
Uganda,4.9 [3-6.9],8.3 [5.1-12.5],1.6 [0.7-3.1]
Ukraine,20.1 [14.2-25],22.6 [14.6-31.5],17.1 [10.9-24.4]
United Arab Emirates,37.2 [30.9-43.4],45.1 [36.9-53.3],33.8 [26-41.7]
United Kingdom of Great Britain and Northern Ireland,28.1 [24.5-31.8],29.2 [24.4-34.2],26.9 [22.1-32.2]
United Republic of Tanzania,7.1 [5.1-9.1],11.4 [8-15.5],2.8 [1.5-4.8]
United States of America,33.7 [29.6-37.7],34.7 [28.9-40.7],32.6 [26.7-38.7]
Uruguay,26.7 [20.8-32.1],30.6 [22.5-38.9],22.5 [15.6-30.3]
Uzbekistan,15.5 [10.7-19.6],18.9 [12.7-26.4],12.1 [7-18.6]
Vanuatu,35.4 [29.7-40.8],41.5 [33.7-49.2],29.4 [21.7-37.5]
Venezuela (Bolivarian Republic of),24.8 [20.3-30],29.4 [22.5-36.9],20.3 [14.2-27.2]
Viet Nam,3.6 [1.9-5.4],4.8 [2.5-8.1],2.3 [1-4.4]
Yemen,17.2 [11.9-22],23.4 [15.8-31.9],11.1 [6.2-17.2]
Zambia,8.9 [6-11.6],14.3 [9.7-19.8],3.4 [1.7-5.9]
Zimbabwe,10.5 [6.7-14.2],18.5 [12.1-25.9],2.4 [1-4.5]
